player_id,player_name,season,team,position,age,games,snap_share,route_participation,target_share,targets_per_game,air_yards_share,adot,catch_rate,yptarget,yac_per_rec,rush_share,carries_per_game,ypc,rz_target_share,rz_rush_share,inside5_rush_share,inside10_target_share,rush_td,rec_td,pass_att_share,ypa,sack_rate,pass_td,receiving_yards,rushing_yards,passing_yards
00-0040590,Konata Mumpfield,2025,LA,WR,,10,0.315,,0.06686046511627906,2.3,0.08934500452761847,12.869565217391305,0.43478260869565216,4.0,2.5,0.0,0.0,,0.06060606060606061,,,0.015151515151515152,0,1,0.0,,,0,92,0,0
00-0040628,Drake Dabney,2025,GB,TE,,1,0.515,,0.2,2.0,0.4,5.0,0.5,1.5,0.0,0.0,0.0,,1.0,,,1.0,0,0,0.0,,,0,3,0,0
00-0040629,Dalevon Campbell,2025,CAR,WR,,1,0.065,,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,0,0,0.0,,,0,0,0,0
00-0040644,Trevor Etienne,2025,CAR,RB,,17,0.055,,0.00625,0.17647058823529413,0.000613685179502915,0.6666666666666666,1.0,4.333333333333333,3.6666666666666665,0.04338394793926247,1.1764705882352942,4.7,0.0,0.058823529411764705,0.07142857142857142,0.0,0,0,0.0,,,0,13,94,0
00-0040646,Jalen Royals,2025,KC,WR,,2,0.19,,0.046153846153846156,1.5,0.047516198704103674,7.333333333333333,0.6666666666666666,1.3333333333333333,2.0,0.0,0.0,,0.0,,,0.0,0,0,0.0,,,0,4,0,0
00-0040648,Tory Horton,2025,SEA,WR,,8,0.48125,,0.10628019323671498,2.75,0.17371134020618556,15.318181818181818,0.5909090909090909,7.318181818181818,2.5384615384615383,0.0,0.0,,0.14814814814814814,,,0.1111111111111111,0,5,0.0,,,0,161,0,0
00-0040649,Robbie Ouzts,2025,SEA,RB,,4,0.2676923076923077,,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,0,0,0.0,,,0,0,0,0
00-0040663,Harold Fannin Jr.,2025,CLE,TE,,16,0.759375,,0.214,6.6875,0.19005589879376286,6.037383177570093,0.6728971962616822,6.831775700934579,4.888888888888889,0.017632241813602016,0.4375,1.8571428571428572,0.16666666666666666,0.03333333333333333,0.041666666666666664,0.06060606060606061,1,6,0.0,,,0,731,13,0
00-0040666,Omarion Hampton,2025,LAC,RB,,9,0.5740000000000001,,0.125,3.888888888888889,-0.02324580284115368,-1.542857142857143,0.9142857142857143,5.485714285714286,7.65625,0.5145228215767634,13.777777777777779,4.395161290322581,0.047619047619047616,0.7222222222222222,0.7272727272727273,0.023809523809523808,4,1,0.0,,,0,192,545,0
00-0040667,Matthew Golden,2025,GB,WR,,14,0.5293333333333333,,0.11671087533156499,3.142857142857143,0.16834400731930466,12.545454545454545,0.6590909090909091,8.204545454545455,3.4827586206896552,0.02544529262086514,0.7142857142857143,4.9,0.029411764705882353,0.024390243902439025,0.0,0.0,0,0,0.0,,,0,361,49,0
00-0040668,Shedeur Sanders,2025,CLE,QB,,8,0.91625,,0.0,0.0,0.0,,,,,0.10552763819095477,2.625,8.047619047619047,,0.07692307692307693,0.1,,1,0,0.9506726457399103,6.60377358490566,0.09787234042553192,7,0,169,1400
00-0040669,Isaac TeSlaa,2025,DET,WR,,14,0.39647058823529413,,0.05844155844155844,1.9285714285714286,0.11713810316139767,13.037037037037036,0.5925925925925926,8.851851851851851,3.4375,0.0,0.0,,0.12359550561797752,,,0.033707865168539325,0,6,0.0,,,0,239,0,0
00-0040673,Jalen Milroe,2025,SEA,QB,,3,0.02,,0.0,0.0,0.0,,,,,0.0379746835443038,1.0,1.3333333333333333,,0.0,0.0,,0,0,0.0,,,0,0,4,0
