pfr_id,rush_ybc_att,rush_yac_att,rush_broken_tackles,rush_att_per_broken,pfr_rush_att,rec_ybc_per_rec,rec_yac_per_rec,pfr_adot,rec_broken_tackles,rec_drop_pct,pfr_targets,player_id
GiddDJ00,1.8,1.8,0.0,,26.0,,,-3.0,0.0,0.0,2.0,00-0040179
GillJa00,-13.0,0.0,0.0,,1.0,,,,,,,00-0035042
GillRe00,0.0,2.0,0.0,,2.0,11.0,1.0,11.0,0.0,0.0,2.0,00-0036187
GipsXa00,,,,,,-4.5,7.5,-4.5,0.0,0.0,2.0,00-0038496
GodwCh00,,,,,,4.7,6.2,7.0,4.0,0.02,51.0,00-0033921
GoedDa00,,,,,,6.0,3.9,7.1,3.0,0.049,82.0,00-0034351
GoffJa00,2.2,0.2,0.0,,19.0,,,,,,,00-0033106
GoldMa02,2.7,2.2,1.0,10.0,10.0,9.0,3.5,12.5,0.0,0.023,44.0,00-0040667
GoodTy00,1.6,1.1,0.0,,9.0,-1.0,5.0,-1.0,0.0,0.0,3.0,00-0037120
GordOl00,1.2,1.7,6.0,11.7,70.0,-3.6,8.1,-2.8,2.0,0.111,9.0,00-0040198
GoulAn00,,,,,,-1.0,4.0,-1.0,0.0,0.0,2.0,00-0039816
GranCa00,,,,,,-3.0,6.5,-3.0,0.0,0.0,2.0,00-0039631
GranKy00,,,,,,3.9,1.9,7.4,0.0,0.111,9.0,00-0036876
GrayNo00,,,,,,3.4,5.1,6.1,0.0,0.081,37.0,00-0036637
HallBr03,2.5,1.8,12.0,20.3,243.0,0.8,8.9,0.4,1.0,0.042,48.0,00-0038120
HampOm00,2.7,1.7,15.0,8.3,124.0,-1.7,7.7,-1.5,3.0,0.0,35.0,00-0040666
HamxC.00,1.0,0.7,0.0,,3.0,1.0,4.5,1.0,0.0,0.0,2.0,00-0032918
HardMe00,,,,,,,,46.0,0.0,0.0,1.0,00-0035140
HarrMa09,,,,,,11.9,2.9,12.9,3.0,0.055,73.0,00-0039849
HarrNa00,2.0,2.1,0.0,,15.0,3.3,5.0,3.3,1.0,0.0,3.0,00-0036893
HarrTr03,2.5,2.5,0.0,,2.0,6.2,4.6,7.7,1.0,0.023,43.0,00-0040727
HarvRJ00,1.9,1.8,7.0,20.9,146.0,-0.1,7.7,0.5,5.0,0.121,58.0,00-0040730
HaskHa00,1.2,1.5,1.0,17.0,17.0,-0.8,4.0,-0.8,0.0,0.0,4.0,00-0037617
HaweJa00,,,,,,6.0,5.7,7.3,2.0,0.105,19.0,00-0040194
HeatMa00,,,,,,9.5,4.8,9.3,1.0,0.14300000000000002,7.0,00-0038465
HelmGu00,,,,,,4.5,3.6,5.6,0.0,0.036000000000000004,55.0,00-0040584
HendTr02,3.1,2.0,11.0,16.4,180.0,-0.7,7.0,0.0,3.0,0.048,42.0,00-0040734
HenrDe00,2.8,2.4,13.0,23.6,307.0,1.0,9.0,0.6,1.0,0.048,21.0,00-0032764
HenrHu00,,,,,,7.2,5.6,8.0,1.0,0.034,87.0,00-0033090
HerbJu00,4.9,1.1,3.0,27.7,83.0,,,,,,,00-0036355
HerbKh00,0.9,2.3,0.0,,16.0,-5.0,9.0,-3.3,0.0,0.25,4.0,00-0036906
HeywCo00,2.2,0.7,0.0,,15.0,5.3,1.7,6.5,0.0,0.0,4.0,00-0037304
HigbTy00,,,,,,5.6,5.6,5.9,0.0,0.083,36.0,00-0033110
HiggEl00,,,,,,3.1,7.0,3.6,5.0,0.0,37.0,00-0039041
HiggJa00,,,,,,9.8,3.0,11.0,1.0,0.044000000000000004,68.0,00-0040130
HiggTe00,,,,,,11.5,2.8,13.1,5.0,0.02,98.0,00-0036410
HillJu00,1.3,3.9,1.0,18.0,18.0,-0.7,8.8,-0.2,5.0,0.0,27.0,00-0034975
HillJu02,,,,,,1.9,7.4,3.3,1.0,0.05,20.0,00-0038720
HillTa00,0.9,1.3,2.0,26.0,52.0,0.5,7.8,3.4,0.0,0.188,16.0,00-0033357
