player_id,season,week,team,opponent,position,snaps,team_snaps,routes,team_dropbacks,targets,team_targets,receptions,receiving_yards,air_yards,team_air_yards,carries,team_carries,rushing_yards,pass_attempts,passing_yards,rz_targets,team_rz_targets,rz_carries,team_rz_carries,inside5_carries,team_inside5_carries,rush_td,rec_td,pass_td,anytime_td
00-0038134,2026,2,KC,IND,RB,66.0,80.48780487804879,,47,10,43,6,61,13,247,24,28,117,0,0,2.0,10.0,5.0,5.0,3.0,3.0,0,0,0,0
00-0038359,2026,2,LA,NYG,WR,26.0,61.904761904761905,,31,1,30,0,0,0,331,0,28,0,0,0,1.0,4.0,,2.0,,0.0,0,0,0,0
00-0038393,2026,2,PHI,TEN,WR,47.0,75.80645161290323,,37,6,34,5,74,69,303,0,32,0,0,0,1.0,4.0,,7.0,,1.0,0,0,0,0
00-0038416,2026,2,CHI,MIN,QB,10.0,71.42857142857142,,35,0,30,0,0,0,165,0,31,0,9,54,,10.0,,5.0,,1.0,0,0,0,0
00-0038454,2026,2,LAC,LV,RB,17.0,68.0,,27,1,26,1,15,3,261,5,32,24,0,0,0.0,1.0,0.0,3.0,0.0,2.0,0,0,0,0
00-0038519,2026,2,KC,IND,WR,0.0,,,47,0,43,0,0,0,247,0,28,0,0,0,,10.0,,5.0,,3.0,0,0,0,0
00-0038542,2026,2,ATL,CAR,RB,35.0,68.62745098039215,,32,4,31,3,9,12,147,16,32,72,0,0,0.0,,0.0,,0.0,,0,0,0,0
00-0038543,2026,2,SEA,ARI,WR,47.0,70.14925373134328,,26,11,26,9,155,121,227,0,40,0,0,0,3.0,6.0,,15.0,,8.0,0,3,0,1
00-0038544,2026,2,LAC,LV,WR,55.0,67.90123456790123,,27,5,26,1,7,64,261,1,32,7,0,0,0.0,1.0,0.0,3.0,0.0,2.0,0,0,0,0
00-0038555,2026,2,PHI,TEN,RB,26.0,76.47058823529412,,37,2,34,2,5,-8,303,13,32,33,0,0,0.0,4.0,2.0,7.0,1.0,1.0,1,0,0,1
00-0038558,2026,2,PIT,NE,TE,37.0,69.81132075471697,,40,2,37,1,7,4,196,0,23,0,0,0,0.0,2.0,,0.0,,0.0,0,0,0,0
